MetaItr,TestItr,AverageReturnLastTest,0AverageReturn,0NumTrajs,0StdReturn,0MaxReturn,0MinReturn,stage0_task0last_goal_dist,stage0_task1last_goal_dist,stage0_task2last_goal_dist,1AverageReturn,1NumTrajs,1StdReturn,1MaxReturn,1MinReturn,stage1_task0last_goal_dist,stage1_task1last_goal_dist,stage1_task2last_goal_dist,ILLoss,Time,ItrTime
38,1,520.5633920893071,452.037972746425,30,23.715804009636884,494.47139303917487,414.12269885052876,1.2322977875532153,1.4853750397541314,1.3698195850409467,520.5633920893071,30,25.20538875366287,541.3090401371863,472.7474255708947,0.7649295932106158,1.236132463368122,0.7993864606774694,nan,1533.8001890182495,9.196797370910645
38,0,520.5633920893071,453.8746297288397,30,27.055569939939346,509.6039277650135,414.6170760632485,1.346824875429854,1.3139198775443959,1.4041120180446902,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.23442829,1564.7132008075714,30.909049034118652
39,1,542.1000316393686,451.7824938463327,30,22.321357672001337,502.13781302188994,408.90069787243755,1.3288605190908478,1.345117898911281,1.2638847761346788,542.1000316393686,30,21.610678319485487,565.2758847328888,505.94208717256316,0.6800367733604651,0.40254584691173073,0.8702435174427994,nan,1574.011913061142,9.292644739151001
39,0,542.1000316393686,449.6617765368674,30,32.53025513809457,529.6845480653087,383.89184870415727,1.4255960790030013,1.4651480691137617,1.166767325862099,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.2270555,1604.8768649101257,30.86056876182556
40,1,520.7854356450306,444.278122347457,30,28.93377424492013,508.13998696520974,376.14907242752395,1.416920536148179,1.4784220403857686,1.51987662629278,520.7854356450306,30,43.07363522837662,582.2628765572973,465.42002198624425,1.034069305648756,0.4169388860834108,0.6371562802594758,nan,1614.1465320587158,9.261904954910278
40,0,520.7854356450306,445.725676543742,30,24.61452058173498,490.0164667709508,386.9373702098557,1.5333092825979746,1.3942493216755956,1.3444479721427784,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.21988672,1645.3291189670563,31.17584729194641
41,1,538.6502130584383,450.0948908389758,30,30.91858988403186,514.9885452017313,378.520464998569,1.4952133936280572,1.3697593427163781,1.3573708840055245,538.6502130584383,30,25.16586491748991,565.8483952006999,503.9293306318849,1.138127649134477,0.49390363347555216,0.5094730504458705,nan,1654.5886678695679,9.2506422996521
41,0,538.6502130584383,461.4394697714063,30,27.32176428334285,514.4655761804114,414.1184670610378,1.2139098626286395,1.3508456487246154,1.2641369840525392,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.21413483,1685.7976739406586,31.199706315994263
42,1,548.0368921117316,452.04644392886803,30,31.1568574154507,509.99620624646684,399.11554810077536,1.426287284688375,1.1665931555273492,1.3975636988732763,548.0368921117316,30,27.36702537698782,580.240944831688,502.0176156142934,0.6862027148149068,0.3191194290920834,0.8990974668709543,nan,1695.3423066139221,9.537830591201782
42,0,548.0368921117316,459.4853909607085,30,26.450199217018245,514.9967395258805,412.1610922478389,1.311265079548232,1.3275353442261693,1.3125237736762798,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.20772982,1726.4502353668213,31.105284452438354
43,1,546.4402569922441,451.0110124589242,30,26.36101220417792,496.27317567728124,402.8522718770367,1.3270223980561493,1.2969737098769307,1.4037276868665558,546.4402569922441,30,31.935773437180565,592.940425787629,512.5330097414572,0.7126760018509077,0.6166186662400506,0.38899618719264606,nan,1735.8041360378265,9.346845149993896
43,0,546.4402569922441,461.2644146058153,30,31.376915121359016,519.8792537039036,404.4347196948002,1.3381939642048004,1.2469360163781278,1.367984618125572,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.2018646,1766.991844177246,31.18078875541687
44,1,528.3122810057008,463.0294565421485,30,30.37365693427066,522.9348387660727,404.3411319427067,1.213896578903017,1.312825660781939,1.2152385451329226,528.3122810057008,30,25.4343318667072,588.566917300765,491.854471561206,0.5611855276314638,0.9808844032957698,0.8650276845671099,nan,1776.5771503448486,9.579089164733887
44,0,528.3122810057008,459.61425104637095,30,27.776550022876133,550.0657996432934,412.1834498134016,1.3533895579855924,1.3650452660386612,1.2724501893287095,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.19699413,1807.5082340240479,30.92747926712036
